Company,TypeName,Inches,Ram,Weight,Price,Cpu,Memory,Gpu,OpSys
Asus,Workstation,11.6,8.0,3.2,140212,Intel Core i5,256GB SSD +  1TB HDD,AMD Radeon R5,Windows 10 S
MSI,2 in 1 Convertible,17.3,64.0,4.13,131680,AMD A9,512GB SSD,,Windows 10 S
Lenovo,Notebook,17.3,64.0,1.07,121802,AMD E-Series,2TB HDD,AMD Radeon R5,macOS
Razer,2 in 1 Convertible,14.0,16.0,3.69,117413,AMD E-Series,512GB SSD +  1TB HDD,Intel UHD Graphics 620,macOS
Lenovo,Notebook,12.5,,2.2,66012,Intel Pentium,512GB SSD,Intel HD Graphics 620,Chrome OS
Razer,Gaming,15.6,16.0,2.72,145193,Intel Core i3,1TB HDD,Intel UHD Graphics 620,Linux
Asus,Netbook,14.0,8.0,4.43,205377,AMD A9,2TB HDD,Intel UHD Graphics 620,macOS
Apple,Notebook,11.6,8.0,2.16,233168,Intel Pentium,1TB HDD,Nvidia GeForce GTX 1060,Linux
Toshiba,2 in 1 Convertible,12.5,16.0,2.67,163178,Intel Core i9,1TB HDD,AMD Radeon R5,Windows 10
Samsung,Workstation,11.6,4.0,0.95,73123,Intel Core i5,512GB SSD +  1TB HDD,AMD Radeon R5,Windows 10 S
Apple,Notebook,12.5,16.0,1.21,126825,Intel Core i9,1TB HDD,Nvidia GeForce GTX 1060,Chrome OS
Acer,Netbook,11.6,64.0,1.88,23720,Intel Core i5,256GB SSD +  1TB HDD,AMD Radeon R5,Windows 10 S
Lenovo,Notebook,14.0,8.0,1.01,183733,AMD E-Series,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Chrome OS
Acer,Ultrabook,12.5,16.0,,239970,Intel Pentium,512GB SSD +  1TB HDD,Intel HD Graphics 620,Windows 10
Apple,Workstation,12.5,32.0,2.52,239866,AMD E-Series,512GB SSD,Intel UHD Graphics 620,Windows 10 S
Razer,Netbook,17.3,32.0,2.98,233390,Intel Core i7,256GB SSD,Intel UHD Graphics 620,Windows 10
Samsung,Netbook,17.3,64.0,1.56,167192,Intel Core i9,512GB SSD,AMD Radeon R5,Chrome OS
Samsung,Gaming,13.3,16.0,2.02,165862,Intel Core i9,512GB SSD,Nvidia GeForce GTX 1050,macOS
Dell,2 in 1 Convertible,11.6,64.0,3.42,73655,AMD E-Series,512GB SSD,Intel UHD Graphics 620,Windows 10 S
Samsung,Gaming,17.3,16.0,4.57,205715,Intel Core i7,512GB SSD,Nvidia GeForce GTX 1060,Windows 10
Toshiba,Netbook,13.3,8.0,1.09,108448,Intel Core i5,2TB HDD,Nvidia GeForce GTX 1050,No OS
Samsung,Workstation,17.3,8.0,4.28,193446,Intel Pentium,256GB SSD,Nvidia GeForce GTX 1050,Windows 10 S
Apple,Notebook,11.6,16.0,3.09,188979,Intel Core i7,2TB HDD,Intel UHD Graphics 620,Windows 10 S
Dell,Notebook,12.5,8.0,3.04,196143,Intel Pentium,1TB HDD,Intel UHD Graphics 620,Windows 10 S
Apple,Workstation,15.6,16.0,2.8,135507,Intel Core i9,512GB SSD,Intel UHD Graphics 620,Linux
Apple,Netbook,11.6,16.0,1.16,49812,Intel Pentium,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10
HP,Notebook,14.0,8.0,1.24,64570,Intel Core i9,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10
Dell,Notebook,17.3,16.0,3.18,65901,Intel Core i7,512GB SSD +  1TB HDD,AMD Radeon R5,Windows 10 S
Apple,Notebook,17.3,16.0,2.2,75186,Intel Core i9,2TB HDD,Nvidia GeForce GTX 1060,macOS
HP,2 in 1 Convertible,12.5,8.0,4.39,137066,Intel Core i3,2TB HDD,Intel HD Graphics 620,Windows 10 S
HP,2 in 1 Convertible,14.0,4.0,2.45,143364,Intel Core i9,256GB SSD +  1TB HDD,Intel UHD Graphics 620,Linux
Dell,Ultrabook,12.5,4.0,1.44,196323,AMD E-Series,512GB SSD,Nvidia GeForce GTX 1050,Chrome OS
Acer,Gaming,14.0,8.0,3.62,211243,Intel Core i7,256GB SSD,Nvidia GeForce GTX 1060,Linux
Razer,Workstation,15.6,32.0,2.01,51160,Intel Core i5,1TB HDD,Intel HD Graphics 620,macOS
Toshiba,Workstation,17.3,8.0,2.9,34156,Intel Pentium,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10 S
Razer,Workstation,17.3,16.0,3.55,91208,AMD A9,1TB HDD,Nvidia GeForce GTX 1060,Windows 10
Samsung,Ultrabook,15.6,8.0,4.32,226052,Intel Core i7,256GB SSD,AMD Radeon R5,No OS
Toshiba,2 in 1 Convertible,13.3,8.0,3.91,218392,AMD E-Series,2TB HDD,AMD Radeon R5,Windows 10 S
Samsung,Netbook,12.5,16.0,3.47,164001,Intel Core i9,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,macOS
Apple,Netbook,15.6,16.0,3.48,212678,Intel Pentium,1TB HDD,Intel HD Graphics 620,Windows 10
Lenovo,Ultrabook,12.5,4.0,4.49,234514,Intel Core i3,2TB HDD,Nvidia GeForce GTX 1050,Linux
Dell,Netbook,11.6,8.0,2.02,246226,Intel Core i5,256GB SSD,Nvidia GeForce GTX 1050,Chrome OS
Toshiba,Workstation,17.3,4.0,0.9,208631,Intel Core i3,1TB HDD,Intel UHD Graphics 620,Chrome OS
Toshiba,Gaming,12.5,8.0,1.93,200277,AMD A9,512GB SSD,Intel UHD Graphics 620,Windows 10 S
Apple,Notebook,14.0,16.0,1.73,214547,Intel Core i7,2TB HDD,Nvidia GeForce GTX 1050,Linux
Acer,2 in 1 Convertible,12.5,4.0,3.41,210413,Intel Pentium,256GB SSD,Nvidia GeForce GTX 1060,No OS
HP,2 in 1 Convertible,11.6,8.0,3.31,110377,Intel Core i7,1TB HDD,Nvidia GeForce GTX 1060,No OS
Apple,Ultrabook,17.3,8.0,3.16,57863,AMD E-Series,512GB SSD,AMD Radeon R5,macOS
MSI,2 in 1 Convertible,15.6,32.0,0.96,227909,Intel Core i7,512GB SSD,AMD Radeon R5,Chrome OS
HP,Workstation,11.6,64.0,3.67,80439,Intel Core i5,256GB SSD,Intel UHD Graphics 620,Linux
Dell,Netbook,17.3,4.0,2.13,153266,AMD A9,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10 S
HP,Workstation,12.5,16.0,3.43,217459,Intel Core i3,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10
Acer,Ultrabook,13.3,8.0,3.01,136361,AMD A9,256GB SSD,Nvidia GeForce GTX 1050,Windows 10 S
HP,Workstation,13.3,,2.2,227986,Intel Pentium,512GB SSD,Intel HD Graphics 620,Windows 10 S
Dell,Netbook,14.0,16.0,1.41,212286,Intel Core i7,512GB SSD,Nvidia GeForce GTX 1050,Linux
Acer,Gaming,17.3,32.0,1.26,111176,Intel Pentium,256GB SSD,Intel HD Graphics 620,Chrome OS
Razer,Ultrabook,13.3,64.0,4.06,245364,Intel Core i3,256GB SSD +  1TB HDD,AMD Radeon R5,Linux
Toshiba,Gaming,15.6,16.0,4.39,44777,Intel Pentium,512GB SSD +  1TB HDD,AMD Radeon R5,Windows 10
Toshiba,Notebook,17.3,8.0,3.37,172255,AMD E-Series,1TB HDD,Intel UHD Graphics 620,Linux
Samsung,Gaming,15.6,16.0,1.29,173517,AMD A9,256GB SSD,Nvidia GeForce GTX 1050,macOS
Razer,Notebook,15.6,8.0,2.43,213110,Intel Core i3,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10 S
Razer,Notebook,13.3,16.0,3.67,102201,Intel Core i3,512GB SSD +  1TB HDD,Intel HD Graphics 620,Chrome OS
HP,Gaming,17.3,8.0,3.86,162270,Intel Core i9,2TB HDD,AMD Radeon R5,No OS
Toshiba,Ultrabook,12.5,16.0,1.35,167483,Intel Core i3,512GB SSD,Intel HD Graphics 620,Windows 10
Dell,Netbook,11.6,8.0,0.9,196649,Intel Core i9,1TB HDD,AMD Radeon R5,No OS
Asus,Workstation,13.3,8.0,3.61,30867,Intel Core i5,256GB SSD,Intel HD Graphics 620,Windows 10 S
Asus,Workstation,13.3,32.0,2.26,77501,Intel Core i9,512GB SSD,AMD Radeon R5,Linux
Acer,Netbook,12.5,4.0,1.87,160338,AMD A9,2TB HDD,Intel HD Graphics 620,No OS
Toshiba,Notebook,17.3,16.0,0.95,54422,Intel Pentium,2TB HDD,AMD Radeon R5,macOS
Toshiba,Notebook,17.3,8.0,2.95,181280,Intel Core i9,512GB SSD,Intel HD Graphics 620,Linux
Asus,Ultrabook,15.6,4.0,4.13,136544,Intel Core i3,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10 S
Toshiba,2 in 1 Convertible,12.5,4.0,4.54,177285,AMD A9,512GB SSD +  1TB HDD,Intel UHD Graphics 620,No OS
HP,Gaming,12.5,,3.05,153439,Intel Core i9,256GB SSD,Intel HD Graphics 620,Windows 10
MSI,Notebook,17.3,32.0,2.85,225098,Intel Core i9,256GB SSD,Intel UHD Graphics 620,No OS
Lenovo,Workstation,15.6,8.0,1.22,50362,Intel Core i3,256GB SSD,Nvidia GeForce GTX 1050,No OS
Razer,Ultrabook,13.3,64.0,2.99,66588,AMD E-Series,512GB SSD,Nvidia GeForce GTX 1050,Chrome OS
Samsung,Gaming,14.0,16.0,2.34,184357,AMD E-Series,256GB SSD +  1TB HDD,AMD Radeon R5,No OS
Acer,Ultrabook,11.6,8.0,3.21,141683,Intel Core i9,1TB HDD,Intel UHD Graphics 620,Windows 10 S
MSI,Gaming,13.3,16.0,2.38,220827,AMD E-Series,2TB HDD,Nvidia GeForce GTX 1060,Windows 10
Asus,Gaming,17.3,16.0,1.81,217918,Intel Core i7,512GB SSD,AMD Radeon R5,Windows 10 S
Razer,Netbook,11.6,16.0,1.26,51307,Intel Core i3,1TB HDD,Intel UHD Graphics 620,macOS
Toshiba,Notebook,14.0,8.0,2.1,241239,Intel Core i7,2TB HDD,Intel HD Graphics 620,Linux
Samsung,Ultrabook,14.0,8.0,1.27,95280,AMD A9,2TB HDD,Intel HD Graphics 620,No OS
Toshiba,Ultrabook,15.6,32.0,1.57,165939,Intel Core i7,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Chrome OS
Dell,Netbook,11.6,32.0,4.65,71523,AMD A9,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10
Dell,Workstation,15.6,,2.59,230233,Intel Core i9,256GB SSD,Intel HD Graphics 620,Chrome OS
Samsung,Workstation,13.3,8.0,2.92,152450,AMD A9,1TB HDD,Intel UHD Graphics 620,Chrome OS
Samsung,Notebook,12.5,16.0,4.22,230757,AMD A9,512GB SSD,Intel UHD Graphics 620,Chrome OS
Asus,Notebook,12.5,8.0,4.68,122669,Intel Pentium,1TB HDD,Intel HD Graphics 620,No OS
Samsung,2 in 1 Convertible,12.5,8.0,3.11,223030,Intel Core i7,512GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10
HP,Netbook,11.6,8.0,3.99,173998,Intel Pentium,256GB SSD,Intel UHD Graphics 620,Windows 10
Toshiba,Workstation,12.5,16.0,2.14,118215,Intel Core i9,1TB HDD,Nvidia GeForce GTX 1050,Chrome OS
MSI,Gaming,13.3,8.0,2.06,113707,Intel Core i3,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Linux
Apple,Ultrabook,15.6,8.0,2.43,159252,Intel Core i7,512GB SSD,Nvidia GeForce GTX 1050,No OS
Samsung,Notebook,11.6,32.0,3.46,107837,Intel Core i3,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS
Acer,Ultrabook,15.6,8.0,3.49,133070,Intel Core i3,2TB HDD,Intel UHD Graphics 620,Windows 10 S
Dell,Ultrabook,11.6,4.0,2.1,183003,AMD A9,512GB SSD,Nvidia GeForce GTX 1060,No OS
HP,2 in 1 Convertible,15.6,4.0,1.41,170086,Intel Core i7,256GB SSD,Intel UHD Graphics 620,Chrome OS
Razer,Workstation,14.0,,3.3,242544,Intel Core i3,2TB HDD,Intel UHD Graphics 620,macOS
Apple,Notebook,15.6,16.0,1.39,94872,AMD E-Series,512GB SSD,Nvidia GeForce GTX 1050,Chrome OS
MSI,Ultrabook,12.5,8.0,3.1,204574,Intel Core i3,512GB SSD,Nvidia GeForce GTX 1050,Windows 10
Apple,Notebook,14.0,16.0,3.54,102736,AMD E-Series,512GB SSD,AMD Radeon R5,No OS
Samsung,Gaming,15.6,16.0,3.56,20470,Intel Core i7,512GB SSD,,No OS
Asus,2 in 1 Convertible,11.6,8.0,3.76,242467,Intel Core i9,2TB HDD,AMD Radeon R5,Windows 10 S
Dell,Gaming,11.6,16.0,4.22,161025,Intel Pentium,256GB SSD,AMD Radeon R5,macOS
Dell,Notebook,11.6,16.0,2.8,184579,Intel Core i7,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS
Razer,Notebook,17.3,16.0,3.67,107969,Intel Pentium,1TB HDD,Intel UHD Graphics 620,Windows 10 S
Asus,Workstation,13.3,8.0,3.25,106493,Intel Pentium,256GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10 S
Toshiba,Ultrabook,11.6,32.0,1.61,21523,Intel Core i7,1TB HDD,Intel UHD Graphics 620,macOS
Lenovo,Ultrabook,14.0,16.0,1.0,232995,Intel Core i3,1TB HDD,Intel HD Graphics 620,Chrome OS
HP,Gaming,11.6,8.0,,203262,Intel Core i5,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Chrome OS
Dell,2 in 1 Convertible,17.3,8.0,2.58,193833,Intel Core i3,2TB HDD,Nvidia GeForce GTX 1060,Chrome OS
Acer,Netbook,12.5,4.0,3.25,46169,Intel Core i3,256GB SSD,Intel UHD Graphics 620,Linux
Dell,Ultrabook,14.0,4.0,4.13,60641,Intel Core i9,256GB SSD +  1TB HDD,AMD Radeon R5,Chrome OS
Apple,Workstation,17.3,16.0,1.65,169062,AMD A9,256GB SSD,Intel HD Graphics 620,macOS
Dell,Gaming,12.5,4.0,1.38,44661,AMD A9,2TB HDD,AMD Radeon R5,Linux
Dell,Gaming,14.0,8.0,4.56,159491,Intel Core i3,1TB HDD,Nvidia GeForce GTX 1050,Chrome OS
Lenovo,Netbook,15.6,16.0,1.31,29457,AMD E-Series,256GB SSD,Nvidia GeForce GTX 1060,Linux
Lenovo,Workstation,13.3,4.0,2.72,82600,Intel Core i9,2TB HDD,Nvidia GeForce GTX 1060,macOS
MSI,2 in 1 Convertible,13.3,64.0,3.13,118619,Intel Pentium,2TB HDD,AMD Radeon R5,Chrome OS
Toshiba,Workstation,17.3,8.0,2.96,91102,AMD A9,512GB SSD +  1TB HDD,Intel HD Graphics 620,Windows 10
Acer,2 in 1 Convertible,12.5,8.0,1.23,48085,Intel Core i3,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS
Dell,Workstation,13.3,8.0,1.12,112064,Intel Core i9,512GB SSD +  1TB HDD,AMD Radeon R5,macOS
Dell,Workstation,12.5,8.0,1.3,196726,Intel Core i5,1TB HDD,Intel HD Graphics 620,Windows 10 S
HP,Notebook,12.5,4.0,3.13,152202,AMD E-Series,256GB SSD +  1TB HDD,AMD Radeon R5,Windows 10 S
Lenovo,Gaming,17.3,16.0,,120723,Intel Core i7,1TB HDD,Intel HD Graphics 620,macOS
Acer,Workstation,17.3,64.0,1.79,148114,Intel Core i3,512GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10 S
Razer,Netbook,17.3,8.0,3.32,85134,Intel Core i9,2TB HDD,Intel HD Graphics 620,macOS
MSI,Workstation,13.3,16.0,4.02,57982,Intel Core i3,1TB HDD,Nvidia GeForce GTX 1050,Windows 10
Toshiba,Ultrabook,17.3,16.0,1.06,244494,Intel Pentium,256GB SSD +  1TB HDD,Intel UHD Graphics 620,macOS
Asus,Gaming,13.3,16.0,2.79,80185,AMD E-Series,256GB SSD +  1TB HDD,AMD Radeon R5,Chrome OS
Toshiba,Ultrabook,17.3,8.0,3.52,48477,AMD A9,1TB HDD,Intel UHD Graphics 620,Chrome OS
Apple,Gaming,11.6,8.0,1.86,129161,AMD A9,256GB SSD +  1TB HDD,Intel UHD Graphics 620,Linux
Dell,Ultrabook,12.5,8.0,2.07,67709,AMD A9,2TB HDD,AMD Radeon R5,Windows 10 S
MSI,Workstation,17.3,16.0,3.23,174788,Intel Core i7,2TB HDD,AMD Radeon R5,No OS
Apple,Workstation,14.0,16.0,4.31,93137,Intel Core i9,256GB SSD +  1TB HDD,,Windows 10 S
Acer,Notebook,12.5,8.0,3.98,51018,AMD E-Series,1TB HDD,AMD Radeon R5,macOS
Asus,Netbook,12.5,8.0,3.12,154133,AMD E-Series,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS
Lenovo,Ultrabook,17.3,32.0,3.67,154681,AMD A9,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS
MSI,2 in 1 Convertible,15.6,16.0,2.29,50371,AMD A9,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10 S
MSI,Notebook,17.3,64.0,3.34,98021,Intel Pentium,256GB SSD +  1TB HDD,Intel HD Graphics 620,No OS
Dell,Ultrabook,12.5,16.0,2.67,166877,Intel Core i5,256GB SSD +  1TB HDD,Intel HD Graphics 620,No OS
Samsung,Ultrabook,14.0,8.0,1.62,22857,Intel Core i5,1TB HDD,Nvidia GeForce GTX 1060,Chrome OS
MSI,Notebook,12.5,16.0,3.57,157692,Intel Core i3,512GB SSD +  1TB HDD,AMD Radeon R5,Windows 10
HP,Workstation,14.0,16.0,3.01,23177,Intel Core i3,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,macOS
Asus,Ultrabook,13.3,4.0,2.26,176183,AMD E-Series,256GB SSD,Intel HD Graphics 620,Windows 10 S
Asus,Workstation,11.6,16.0,4.36,103578,AMD E-Series,256GB SSD +  1TB HDD,Intel HD Graphics 620,Chrome OS
HP,Notebook,12.5,16.0,0.98,230253,Intel Core i7,256GB SSD +  1TB HDD,Intel UHD Graphics 620,Linux
Razer,Workstation,17.3,8.0,2.1,104941,Intel Core i7,256GB SSD,Nvidia GeForce GTX 1060,No OS
HP,Gaming,13.3,16.0,1.12,26826,Intel Core i5,512GB SSD +  1TB HDD,AMD Radeon R5,No OS
HP,2 in 1 Convertible,11.6,16.0,3.81,159962,Intel Core i3,512GB SSD,Nvidia GeForce GTX 1050,Windows 10 S
Asus,Ultrabook,17.3,64.0,3.57,97428,Intel Core i5,2TB HDD,Intel HD Graphics 620,Windows 10
Toshiba,Netbook,15.6,4.0,,141044,Intel Core i5,512GB SSD,Intel UHD Graphics 620,Windows 10
Asus,2 in 1 Convertible,17.3,8.0,3.47,204103,Intel Core i3,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10 S
Samsung,Workstation,14.0,16.0,2.4,90020,Intel Core i9,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10 S
Dell,Ultrabook,14.0,8.0,3.77,20495,Intel Core i7,512GB SSD,Nvidia GeForce GTX 1050,Chrome OS
Apple,Workstation,15.6,16.0,2.63,43481,Intel Pentium,1TB HDD,Intel HD Graphics 620,Windows 10 S
Toshiba,Gaming,13.3,16.0,2.47,157339,Intel Pentium,1TB HDD,Nvidia GeForce GTX 1050,Linux
Lenovo,Notebook,11.6,4.0,4.45,132897,Intel Pentium,256GB SSD,Nvidia GeForce GTX 1050,Chrome OS
Apple,Ultrabook,17.3,16.0,1.85,152815,Intel Core i3,512GB SSD +  1TB HDD,Intel UHD Graphics 620,No OS
Dell,Gaming,14.0,16.0,1.36,200872,AMD A9,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS
Samsung,Gaming,13.3,8.0,3.12,118475,AMD A9,512GB SSD,AMD Radeon R5,No OS
Samsung,Ultrabook,15.6,32.0,4.58,194845,AMD A9,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS
Lenovo,Workstation,12.5,16.0,2.34,72042,AMD E-Series,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,macOS
Toshiba,Netbook,14.0,16.0,1.14,64476,Intel Core i7,512GB SSD,Intel UHD Graphics 620,Linux
Razer,Gaming,15.6,16.0,2.19,238177,Intel Core i7,512GB SSD,AMD Radeon R5,Chrome OS
