platform,hashtag,category,country,month,date,posts,likes,views,comments,shares,engagement_rate
YouTube,#FIFA,Sports,India,October,2023-10-13,178333,19257,11655709,2516,1492,0.2
TikTok,#Parliament,Politics,India,October,2023-10-26,1236387,695512,15771097,38895,103854,5.32
Instagram,#Meditation,Health,India,June,2023-06-08,1182144,274065,14776733,23310,24750,2.18
TikTok,#ChessOlympiad,Sports,Bangladesh,August,2023-08-05,4315510,1349989,60697396,30534,110873,2.46
Facebook,#ChatGPT,Technology,India,March,2023-03-21,88913,12898,598270,976,1281,2.53
TikTok,#WebSeries,Entertainment,USA,November,2023-11-13,1149319,481289,10178735,10905,74083,5.56
TikTok,#BJP,Politics,Brazil,January,2023-01-23,3496531,1097682,80383995,85477,155420,1.67
Facebook,#Startup,Technology,India,June,2023-06-08,499798,139380,1581409,12690,14320,10.52
Facebook,#Kashmir,Travel,Canada,July,2023-07-15,535335,104947,4174332,10864,13447,3.1
Instagram,#OOTD,Fashion,Bangladesh,September,2023-09-04,1843156,423786,26194053,32594,32390,1.87
Twitter,#OOTD,Fashion,Canada,March,2023-03-24,291042,40706,1777341,7109,5190,2.98
Instagram,#Kashmir,Travel,France,January,2023-01-14,880101,104415,7942106,4057,12478,1.52
YouTube,#AI,Technology,USA,February,2023-02-20,187855,27707,30516765,1049,833,0.1
Facebook,#BJP,Politics,Brazil,August,2023-08-18,653239,53013,1616998,2811,6989,3.88
TikTok,#WellBeing,Health,UK,February,2023-02-26,2466771,633807,19848154,16916,92436,3.74
TikTok,#IncredibleIndia,Travel,India,September,2023-09-13,4546745,715639,81315775,19276,51194,0.97
Facebook,#OTT,Entertainment,USA,May,2023-05-04,606384,104082,3629952,3924,15322,3.4
Twitter,#OnlineLearning,Education,Indonesia,September,2023-09-17,586070,31686,5266806,1791,6846,0.77
YouTube,#Skincare,Fashion,India,July,2023-07-02,18210,1852,2766634,188,118,0.08
YouTube,#Elections2024,Politics,USA,October,2023-10-07,89248,15353,4597703,1862,652,0.39
Facebook,#Budget2024,Politics,India,August,2023-08-23,46780,6762,105855,324,301,6.98
YouTube,#NEET,Education,Germany,October,2023-10-06,124598,10964,19386497,491,383,0.06
Twitter,#Gaming,Gaming,India,July,2023-07-08,463176,105556,3680610,19442,22799,4.02
Instagram,#Wanderlust,Travel,Brazil,July,2023-07-08,1948419,738551,12081461,19652,50372,6.69
Facebook,#Yoga,Health,Indonesia,May,2023-05-31,344814,35368,1368056,2002,3149,2.96
Facebook,#BJP,Politics,Brazil,June,2023-06-29,476849,42591,3442956,2629,6379,1.5
YouTube,#Bollywood,Entertainment,Bangladesh,November,2023-11-23,106985,11179,17566645,1210,857,0.08
Instagram,#Meditation,Health,Canada,August,2023-08-13,82978,11963,483923,856,748,2.8
TikTok,#OTT,Entertainment,India,December,2023-12-14,3824224,2206464,54687682,139924,300273,4.84
TikTok,#Esports,Gaming,USA,November,2023-11-29,2387819,626385,18711463,38520,78208,3.97
Facebook,#StudyTips,Education,India,May,2023-05-14,746237,132964,5953621,7406,18723,2.67
Facebook,#AI,Technology,India,February,2023-02-07,482001,56868,3027072,6810,7344,2.35
YouTube,#Valorant,Gaming,India,October,2023-10-09,142626,13343,10553211,540,796,0.14
Instagram,#PubG,Gaming,India,March,2023-03-04,431486,162766,2520238,9688,10169,7.25
TikTok,#Esports,Gaming,Canada,October,2023-10-10,1138599,484333,8147116,15329,96837,7.32
Facebook,#NEET,Education,Canada,July,2023-07-29,610826,58776,4785380,5161,5260,1.45
TikTok,#FreeFireIndia,Gaming,France,October,2023-10-10,4980706,1154943,145220529,46524,215520,0.98
Twitter,#Kabaddi,Sports,India,June,2023-06-05,177655,14637,1683796,1226,5624,1.28
TikTok,#OOTD,Fashion,India,April,2023-04-11,4670792,1277475,96337696,67718,81776,1.48
Instagram,#WellBeing,Health,India,March,2023-03-29,1391462,443274,19235585,20838,50158,2.67
Twitter,#Bollywood,Entertainment,India,November,2023-11-25,813475,134511,5864373,22200,30261,3.19
Twitter,#Wanderlust,Travel,Indonesia,May,2023-05-29,678088,163643,3976008,27934,49992,6.08
YouTube,#IncredibleIndia,Travel,Australia,January,2023-01-31,41939,4862,4494401,226,255,0.12
YouTube,#Valorant,Gaming,Germany,June,2023-06-26,105021,7311,9105030,680,236,0.09
Facebook,#FIFA,Sports,Brazil,May,2023-05-07,155720,15774,582590,1018,1698,3.17
Instagram,#Parliament,Politics,France,October,2023-10-23,1522315,318849,18507478,19086,24336,1.96
Facebook,#Streetwear,Fashion,India,February,2023-02-16,420344,80368,3278733,3967,6334,2.77
Twitter,#Streetwear,Fashion,Pakistan,December,2023-12-01,710188,102350,4469586,18123,23466,3.22
YouTube,#Esports,Gaming,USA,January,2023-01-24,105510,6085,12780113,408,183,0.05
Facebook,#NEET,Education,Canada,October,2023-10-09,301308,78812,1729342,6698,4267,5.19
Twitter,#Foodie,Food,Canada,June,2023-06-23,589929,140279,4742864,11202,35453,3.94
TikTok,#Bollywood,Entertainment,India,March,2023-03-12,2843747,1455386,51140005,29727,267747,3.43
Instagram,#PubG,Gaming,USA,March,2023-03-25,834085,372598,9902117,16371,22457,4.15
TikTok,#NEET,Education,Australia,October,2023-10-16,2564825,932831,13890896,30957,61977,7.38
Facebook,#Fitness,Health,Canada,December,2023-12-19,667827,57341,3237318,6710,7231,2.2
TikTok,#Yoga,Health,Australia,January,2023-01-27,4944948,1810849,89532280,109525,300946,2.48
Facebook,#BJP,Politics,India,January,2023-01-17,608383,175582,1617917,5566,13081,12.0
Instagram,#HealthyEating,Food,India,July,2023-07-30,1062391,394402,14922611,35427,37951,3.13
Twitter,#Vote,Politics,India,October,2023-10-15,345839,86329,2015192,9196,33409,6.4
Facebook,#JEE,Education,Indonesia,July,2023-07-01,716699,179058,4533513,15738,20818,4.76
TikTok,#Goa,Travel,India,May,2023-05-23,4731570,1345301,135025469,105953,222884,1.24
Instagram,#Kashmir,Travel,Brazil,June,2023-06-28,1185427,505934,14871020,21186,20727,3.68
TikTok,#Cooking,Food,Germany,June,2023-06-26,1278730,358944,15588688,21533,36595,2.68
Facebook,#Skincare,Fashion,Brazil,April,2023-04-20,219883,57642,797470,4644,4027,8.32
Twitter,#Meditation,Health,Pakistan,May,2023-05-03,259235,15593,2395713,1307,2648,0.82
Twitter,#Foodie,Food,Australia,August,2023-08-30,110428,20565,342297,4003,8089,9.54
Instagram,#HealthyEating,Food,France,September,2023-09-01,1011282,331385,12207116,14242,18453,2.98
Twitter,#ChessOlympiad,Sports,Pakistan,April,2023-04-29,566147,111948,4983602,6223,42141,3.22
Facebook,#Elections2024,Politics,Germany,July,2023-07-23,527447,63815,3425250,6924,4584,2.2
Twitter,#Movies,Entertainment,Pakistan,November,2023-11-05,117512,27696,549995,3272,8098,7.1
TikTok,#Goa,Travel,Germany,September,2023-09-16,3976042,1084571,100277158,35951,173171,1.29
YouTube,#Elections2024,Politics,Australia,June,2023-06-22,77838,10521,12166927,450,735,0.1
Facebook,#StreetFood,Food,USA,February,2023-02-14,428304,97326,1331463,4151,7357,8.17
Instagram,#Movies,Entertainment,UK,May,2023-05-01,946872,344486,13680802,15211,32746,2.87
Twitter,#Skincare,Fashion,USA,December,2023-12-21,252781,15779,744641,1515,3497,2.79
TikTok,#Skincare,Fashion,India,November,2023-11-24,2524954,796357,26565624,61331,96938,3.59
Facebook,#Fitness,Health,UK,December,2023-12-26,583914,163971,3821193,16754,21450,5.29
Instagram,#MentalHealth,Health,Indonesia,August,2023-08-17,1117659,387065,4400483,25210,13763,9.68
TikTok,#UPSC,Education,Pakistan,October,2023-10-02,1307052,292834,34456701,11985,44523,1.01
TikTok,#IncredibleIndia,Travel,France,September,2023-09-19,3786979,1946171,61863359,89382,230659,3.66
Twitter,#NEET,Education,Bangladesh,June,2023-06-07,763414,41494,3080877,2093,6861,1.64
Twitter,#MusicMonday,Entertainment,USA,December,2023-12-25,71857,11370,178352,2093,4500,10.07
Facebook,#Movies,Entertainment,UK,April,2023-04-03,150007,37274,1180555,3284,3214,3.71
Facebook,#Rajasthan,Travel,UK,February,2023-02-11,723894,211457,5246293,8874,28468,4.74
Twitter,#Vote,Politics,UK,September,2023-09-28,138533,27093,523865,1368,2894,5.99
YouTube,#Wanderlust,Travel,Australia,October,2023-10-06,111682,14495,18785457,756,496,0.08
YouTube,#TechNews,Technology,Canada,February,2023-02-27,8945,1533,853919,183,110,0.21
Twitter,#ChatGPT,Technology,India,February,2023-02-21,627795,35605,4257880,5536,4080,1.06
Twitter,#Cooking,Food,India,October,2023-10-04,232823,46768,1911129,3321,18615,3.59
Instagram,#Fitness,Health,Pakistan,November,2023-11-03,1630130,546723,11163099,24132,23450,5.32
TikTok,#Python,Technology,India,May,2023-05-21,561349,224833,11110038,13819,17148,2.3
Facebook,#NEET,Education,India,June,2023-06-26,682565,155416,4583306,9120,13334,3.88
Instagram,#Streetwear,Fashion,India,October,2023-10-03,1003040,184899,5721475,16382,7949,3.66
Facebook,#OTT,Entertainment,UK,August,2023-08-02,592357,116456,2565210,6166,8888,5.13
Twitter,#Kashmir,Travel,India,October,2023-10-02,764782,165102,1844878,17595,46474,12.42
Twitter,#Cricket,Sports,Canada,October,2023-10-28,764489,140887,2856231,11458,52425,7.17
YouTube,#Netflix,Entertainment,France,April,2023-04-08,194873,13172,38959587,1083,355,0.04
TikTok,#Python,Technology,France,May,2023-05-03,4681176,1379667,56532128,58825,203236,2.9
YouTube,#Saree,Fashion,Indonesia,September,2023-09-12,122660,7947,24119533,643,546,0.04
Instagram,#Gaming,Gaming,UK,January,2023-01-24,1189699,478770,14151503,10196,38204,3.73
TikTok,#Meditation,Health,UK,June,2023-06-01,1328519,316567,14282197,15792,27496,2.52
TikTok,#Gaming,Gaming,Canada,September,2023-09-08,4165414,1488606,97134563,51583,105681,1.69
TikTok,#Goa,Travel,France,October,2023-10-05,542680,209352,14097042,3182,36154,1.76
Twitter,#MusicMonday,Entertainment,India,November,2023-11-19,247675,15750,794600,1304,3729,2.62
Twitter,#Meditation,Health,Bangladesh,November,2023-11-12,962089,141081,5679052,7193,37456,3.27
Twitter,#OTT,Entertainment,Australia,May,2023-05-21,566762,139137,1211250,23927,42048,16.93
Instagram,#IPL2024,Sports,Indonesia,March,2023-03-18,515348,86153,4801740,7341,4657,2.04
Facebook,#FIFA,Sports,UK,August,2023-08-24,600447,80163,3712814,4569,10508,2.57
Twitter,#Bollywood,Entertainment,UK,July,2023-07-14,400490,64294,980767,3305,9735,7.89
Facebook,#HealthyEating,Food,Canada,June,2023-06-19,601343,177403,4716356,19608,25032,4.71
Instagram,#TechNews,Technology,France,October,2023-10-18,1007196,196285,14191302,14673,10841,1.56
TikTok,#Meditation,Health,India,April,2023-04-02,2688088,422153,27361921,8482,73076,1.84
Facebook,#FIFA,Sports,India,October,2023-10-16,260153,53246,1846215,4841,5295,3.43
Facebook,#BJP,Politics,Australia,February,2023-02-10,533119,130081,2172543,5046,8524,6.61
Twitter,#PubG,Gaming,Canada,November,2023-11-11,629540,81425,5154950,4433,14819,1.95
Facebook,#Goa,Travel,USA,October,2023-10-11,401663,70293,2441375,6288,3474,3.28
TikTok,#IndianFashion,Fashion,Australia,February,2023-02-07,738184,199743,10703667,12957,14609,2.12
Facebook,#Gaming,Gaming,India,February,2023-02-16,13447,3865,62776,380,198,7.08
Twitter,#Democracy,Politics,Brazil,October,2023-10-13,586687,89462,1658178,5675,23820,7.17
TikTok,#Fitness,Health,Germany,July,2023-07-17,153520,43189,2255974,687,7997,2.3
Instagram,#WellBeing,Health,India,December,2023-12-17,808452,128807,5034252,5341,5555,2.78
Instagram,#Foodie,Food,UK,June,2023-06-03,1025506,383470,7520547,36635,36383,6.07
Facebook,#WellBeing,Health,India,August,2023-08-23,120168,13195,245215,865,1749,6.45
Facebook,#Esports,Gaming,USA,August,2023-08-09,690661,203281,1945417,11965,29313,12.57
Instagram,#Kashmir,Travel,India,July,2023-07-23,679280,137219,7702690,8134,11228,2.03
Instagram,#Esports,Gaming,India,July,2023-07-21,775493,108461,7573624,7307,8579,1.64
TikTok,#WebSeries,Entertainment,Brazil,December,2023-12-29,1808658,628155,22216252,36746,108573,3.48
Facebook,#Goa,Travel,Bangladesh,June,2023-06-05,261777,35494,765660,2416,2891,5.33
Facebook,#Ayurveda,Health,Pakistan,July,2023-07-25,568324,108808,4275133,10037,10859,3.03
